Pair,Date,Keeper,Cleaning (Y/N),"Breeding (N, Sit, Chick, Molt)",Hack Box Male (Y/N),Window Attacking Male (Y/N),Alarm Calls Male (#),Alarm Calls Female (#),Directed Non-Alarm Calls Male (#),Directed Non-Alarm Calls Female (#),Non-Directed Non-Alarm Calls Male (#),Non-Directed Non-Alarm Calls Female (#),Food Timing Male,Food Timing Female,Wait Location Male,Wait Location Female,Start Time,End Time,Length,Length (in seconds),Notes,Afternoon Alarm Calls Male (#),Afternoon Alarm Calls Female (#),Afternoon Directed Non-Alarm Calls Male (#),Afternoon Directed Non-Alarm Calls Female (#),Afternoon Non-Directed Non-Alarm Calls Male (#), Afternoon Non-Directed Non-Alarm Calls Female (#),Afternoon Food Timing Male,Afternoon Food Timing Female,Afternoon Wait Location Male,Afternoon Wait Location Female,Afternoon Start Time,Afternoon End Time,Afternoon Length,Afternoon Length (in seconds),Afternoon Notes
AL114_AL147,15-Jul,Ariel,Y,N,N,N,0,0,0,0,41,1,0,1,0,1,9:24:27 AM,9:32:59 AM,0:08:32,512,,0,0,0,0,23,0,0,2,0,0,2:08:53 PM,2:10:53 PM,0:02:00,120,
AL178_AL181,15-Jul,Ariel,N,Chick,Y,Y,3,2,30,5,110,45,0,0,1,1,7:02:35 AM,7:09:22 AM,0:06:47,407,,17,7,31,9,31,10,0,0,1,1,1:01:26 PM,1:04:34 PM,0:03:08,188,
AL155_AL154,15-Jul,Ariel,N,N,N,N,0,0,0,0,10,0,0,1,0,0,7:21:38 AM,7:25:40 AM,0:04:02,242,,0,0,0,0,0,0,1,1,1,0,1:11:32 PM,1:13:22 PM,0:01:50,110,
AL149_AL091,15-Jul,Ariel,N,N,N,N,0,0,0,0,13,0,0,1,0,0,7:28:49 AM,7:31:00 AM,0:02:11,131,,0,0,0,0,12,3,0,2,0,1,1:16:20 PM,1:18:16 PM,0:01:56,116,
AL225_AL075,14-Jul,Ariel,Y,N,N,N,0,0,0,0,19,0,0,1,0,0,7:52:27 AM,8:00:42 AM,0:08:15,495,,0,0,0,0,10,0,0,1,0,0,1:07:25 PM,1:09:52 PM,0:02:27,147,
AL173_AL177,14-Jul,Ariel,Y,N,N,N,0,0,0,0,0,0,1,1,0,0,8:05:34 AM,8:12:52 AM,0:07:18,438,,0,0,0,0,3,0,2,2,2,2,1:13:12 PM,1:14:54 PM,0:01:42,102,
AL231_AL163,14-Jul,Ariel,Y,N,Y,Y,0,0,28,0,29,0,1,0,1,0,7:09:24 AM,7:19:03 AM,0:09:39,579,,8,0,18,0,6,2,0,1,1,0,12:47:50 PM,12:51:30 PM,0:03:40,220,
AL116_AL035,14-Jul,Ariel,Y,N,Y,Y,0,0,0,0,12,9,1,0,0,0,7:21:03 AM,7:31:36 AM,0:10:33,633,,0,0,0,0,0,1,2,1,1,1,12:53:20 PM,12:56:06 PM,0:02:46,166,
AL184_AL124,14-Jul,Ariel,Y,N,N,N,9,1,4,0,41,39,1,2,2,1,7:34:29 AM,7:39:59 AM,0:05:30,330,F beg 1/2 of time,0,0,0,0,32,29,0,1,0,0,12:58:26 PM,1:00:49 PM,0:02:23,143,F beg most of time
AL109_AL153,14-Jul,Ariel,N,N,N,N,0,0,0,0,0,0,0,1,0,1,9:04:53 AM,9:10:41 AM,0:05:48,348,,0,0,0,0,0,0,1,1,1,1,1:40:06 PM,1:42:01 PM,0:01:55,115,
AL238_AL234,14-Jul,Ariel,Y,N,N,N,0,0,0,0,28,0,1,1,0,0,8:16:27 AM,8:22:47 AM,0:06:20,380,,0,0,4,0,1,1,1,1,0,0,1:18:22 PM,1:19:53 PM,0:01:31,91,
AL249_AL257,14-Jul,Ariel,N,N,N,N,0,0,0,0,0,0,1,1,0,0,9:33:42 AM,9:40:46 AM,0:07:04,424,,0,0,0,0,0,0,1,1,0,1,1:56:28 PM,2:00:47 PM,0:04:19,259,
AL193_AL213,21-Jul,Ariel,Y,N,N,N,0,0,0,0,0,0,1,2,1,1,9:06:20 AM,9:19:15 AM,0:12:55,775,,0,0,0,0,0,0,1,2,1,2,1:43:19 PM,1:45:59 PM,0:02:40,160,
AL226_AL229,14-Jul,Ariel,N,N,N,N,0,0,0,0,0,0,1,1,0,0,9:17:18 AM,9:22:41 AM,0:05:23,323,,0,0,0,0,0,0,1,1,0,0,1:43:59 PM,1:48:19 PM,0:04:20,260,
AL118_AL100,21-Jul,Ariel,Y,N,N,N,0,0,0,0,0,5,0,1,1,1,8:30:44 AM,8:43:28 AM,0:12:44,764,,0,0,0,0,0,0,0,1,0,1,1:31:46 PM,1:35:41 PM,0:03:55,235,
AL228_AL221,14-Jul,Ariel,N,N,N,N,0,0,0,0,0,2,1,1,1,1,9:25:45 AM,9:31:21 AM,0:05:36,336,F beg,0,0,0,0,0,0,1,1,1,1,1:50:19 PM,1:54:42 PM,0:04:23,263,
AL160_AL162,21-Jul,Ariel,Y,N,N,N,0,0,0,0,7,8,1,1,0,1,8:49:54 AM,9:01:55 AM,0:12:01,721,,0,0,0,0,1,0,1,2,1,1,1:38:35 PM,1:40:16 PM,0:01:41,101,
AL223_AL156,14-Jul,Ariel,N,N,N,N,0,0,0,0,1,0,1,2,1,1,8:56:35 AM,9:01:53 AM,0:05:18,318,,0,0,0,0,2,0,1,2,1,2,1:24:52 PM,1:27:01 PM,0:02:09,129,
